OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-30273,2023-124U,2025-07-28T03:46:43.220352,15.30189713,.0001412,53.1606,169.9656,88.8451,271.2711,0,U,57681,999,10918,-.22322E-5,-.425E-5,0
STARLINK-30297,2023-124V,2025-07-28T09:15:53.884512,15.30196601,.0001213,53.1585,168.8916,91.3115,268.8025,0,U,57682,999,10922,.1903E-4,.204E-5,0
STARLINK-30295,2023-124W,2025-07-28T14:16:16.610880,15.30193649,.0001346,53.1589,167.9729,95.4430,264.6725,0,U,57683,999,10924,-.29321E-5,-.446E-5,0
STARLINK-30288,2023-129A,2025-07-28T20:01:42.959136,15.02534959,.0001535,43.0029,256.4109,274.1473,85.9194,0,U,57698,999,10698,.39204E-4,.326E-5,0
STARLINK-30347,2023-129B,2025-07-28T10:03:57.293568,15.02536209,.0001196,43.0020,246.5316,273.4176,86.6530,0,U,57699,999,10706,.18516E-4,.47E-6,0
STARLINK-30332,2023-129C,2025-07-28T19:56:55.397472,15.02532706,.0001521,43.0030,256.3881,274.1955,85.8714,0,U,57700,999,10684,.72142E-5,-.106E-5,0
STARLINK-30345,2023-129D,2025-07-28T11:39:16.240032,15.02536420,.0001754,43.0027,258.9561,286.5413,73.5237,0,U,57701,999,10678,.39057E-4,.324E-5,0
STARLINK-30333,2023-129E,2025-07-28T11:29:40.712352,15.02537186,.0001416,43.0024,258.9043,273.3948,86.6732,0,U,57702,999,10692,.16581E-4,.2E-6,0
STARLINK-30336,2023-129F,2025-07-28T19:33:07.100064,15.02535956,.0001635,43.0027,257.1259,293.8612,66.2059,0,U,57703,999,10667,.24921E-4,.133E-5,0
STARLINK-30346,2023-129G,2025-07-28T11:20:05.598528,15.02535400,.0001233,43.0025,258.8535,273.7575,86.3126,0,U,57704,999,10678,-.25725E-4,-.551E-5,0
STARLINK-30342,2023-129H,2025-07-29T06:00:02.000160,15.33721128,.0001234,43.0029,252.5481,249.1072,162.2045,0,U,57705,999,10706,.42602E-1,.1557179E-1,0
STARLINK-30327,2023-129K,2025-07-28T10:52:55.286688,15.04060246,.0002021,43.0012,246.0121,359.1520,0.9320,0,U,57707,999,10693,.13573E-2,.18939E-3,0
STARLINK-30315,2023-129L,2025-07-28T20:40:04.607616,15.02533204,.0001662,43.0032,256.6142,275.2362,84.8291,0,U,57708,999,10698,-.37133E-5,-.254E-5,0
STARLINK-30287,2023-129M,2025-07-28T09:39:35.648352,15.02525445,.0001457,43.0011,259.1950,279.1697,80.8980,0,U,57709,999,10691,.8226E-5,-.93E-6,0
STARLINK-30335,2023-129N,2025-07-28T20:44:52.271232,15.02522025,.000142,43.0029,256.6401,272.3476,87.7204,0,U,57710,999,10698,-.11177E-3,-.1713E-4,0
STARLINK-30318,2023-129P,2025-07-28T11:24:53.167968,15.02531579,.0001534,43.0030,258.8667,274.6753,85.3914,0,U,57711,999,10678,.3913E-4,.325E-5,0
STARLINK-30348,2023-129Q,2025-07-29T04:29:07.639008,15.02538076,.0001294,43.0023,254.7548,278.1187,81.9508,0,U,57712,999,10703,-.43797E-5,-.263E-5,0
STARLINK-30349,2023-129R,2025-07-28T20:20:53.665440,15.02535210,.0001351,43.0024,256.5155,276.1275,83.9413,0,U,57713,999,10668,.17093E-4,.27E-6,0
STARLINK-30341,2023-129S,2025-07-28T10:12:57.700512,15.02535901,.0001596,43.0030,258.5043,268.5880,91.4779,0,U,57714,999,10692,.22616E-4,.102E-5,0
STARLINK-30300,2023-129T,2025-07-29T02:58:10.789536,15.02539914,.0000427,42.9994,255.1418,269.8857,90.1936,0,U,57715,999,10702,.1598E-4,.13E-6,0
STARLINK-30281,2023-129U,2025-07-29T04:05:08.791296,15.02537260,.0001502,43.0028,254.6298,277.6349,82.4323,0,U,57716,999,10673,.3922E-4,.326E-5,0
STARLINK-30325,2023-129V,2025-07-28T20:25:41.455200,15.02534311,.0001683,43.0030,256.5361,278.0796,81.9855,0,U,57717,999,10698,.18381E-4,.45E-6,0
STARLINK-30338,2023-129W,2025-07-29T02:34:13.029600,15.02526464,.0001477,43.0023,255.0213,276.9672,83.1003,0,U,57718,999,10701,.56475E-4,.559E-5,0
STARLINK-30334,2023-129X,2025-07-28T20:16:05.868768,15.02536204,.0001314,43.0026,256.4908,274.3210,85.7483,0,U,57719,999,10684,.12929E-4,-.29E-6,0
STARLINK-30375,2023-131A,2025-07-29T05:01:31.139616,15.02532779,.0002206,43.0042,293.6257,275.4237,84.6354,0,U,57732,999,10634,-.30203E-4,-.612E-5,0
STARLINK-30310,2023-131B,2025-07-28T15:00:09.612864,15.02530647,.0001395,43.0047,308.8971,273.5501,86.5181,0,U,57733,999,10635,.90897E-4,.1024E-4,0
STARLINK-30365,2023-131C,2025-07-28T23:51:32.332608,15.02531878,.0001261,43.0041,307.3350,269.6369,90.4329,0,U,57734,999,10625,-.3011E-4,-.61E-5,0
STARLINK-30371,2023-131D,2025-07-28T13:43:36.593184,15.02535643,.0001419,43.0049,309.3573,270.6019,89.4661,0,U,57735,999,10621,.22195E-4,.96E-6,0
STARLINK-30352,2023-131E,2025-07-28T07:06:18.987840,15.02525612,.0001754,43.0026,310.7320,263.5094,96.5548,0,U,57736,999,10617,.33253E-3,.429E-4,0
STARLINK-30344,2023-131F,2025-07-28T17:12:39.053952,15.02533590,.0001581,43.0051,308.7366,276.5143,83.5520,0,U,57737,999,10596,.25355E-4,.139E-5,0
STARLINK-30351,2023-131G,2025-07-29T00:05:55.838400,15.02531731,.0001363,43.0037,307.4463,270.4220,89.6466,0,U,57738,999,10616,-.20537E-4,-.481E-5,0
